Resistencia de LDR = 8,2k
Resistencia en pote = 7.3k

40553,2534
41161,2572
41225,2576
40329,2520
40745,2546
41321,2582
41545,2596
40457,2528
40489,2530
40441,2527
40441,2527
41641,2602
41465,2591
41289,2580
40585,2536
41161,2572
41353,2584
41097,2568
40521,2532
40425,2526
40905,2556
40441,2527
41577,2598
40457,2528
41577,2598
41481,2592
40953,2559
41673,2604
40457,2528
40777,2548
40521,2532
40585,2536
40745,2546
40841,2552
27014,1688
24565,1535
24389,1524
22469,1404
21732,1358
21893,1368
22117,1382
22021,1376
22309,1394
22117,1382
21316,1332
21012,1313
21220,1326
20212,1263
20996,1312
20468,1279
20676,1292
20548,1284
20580,1286
20468,1279
20980,1311
20196,1262
20340,1271
19940,1246
19396,1212
19700,1231
20260,1266
19748,1234
20868,1304
22757,1422
39881,2492
41481,2592
41449,2590
41161,2572
40425,2526
41353,2584
40777,2548
40713,2544
41097,2568
41577,2598
41577,2598
40521,2532
40905,2556
40553,2534
41417,2588
39881,2492
24613,1538
23317,1457
23077,1442
21764,1360
20772,1298
20100,1256
20132,1258
20548,1284
20468,1279
20292,1268
20852,1303
21124,1320
21284,1330
21188,1324
21380,1336
20356,1272
20724,1295
20148,1259
20356,1272
20468,1279
19780,1236
20660,1291
20964,1310
21588,1349
21957,1372
23717,1482
33255,2078
41353,2584
40713,2544
41321,2582
40953,2559
41353,2584
41609,2600
40745,2546
40777,2548
40665,2541
40521,2532
40617,2538
40937,2558
40777,2548
41225,2576
40649,2540
41577,2598
41465,2591
41545,2596
41353,2584
40425,2526
40553,2534
28102,1756
27126,1695
26918,1682
25605,1600
25253,1578
25029,1564
24485,1530
24053,1503
23685,1480
22949,1434
22645,1415
22645,1415
21108,1319
20932,1308
20516,1282
26246,1640
39593,2474
41385,2586
41193,2574
40953,2559
40329,2520
41097,2568
41257,2578
41097,2568
40265,2516
40201,2512
41065,2566
41209,2575
40361,2522
41081,2567
40409,2525
40953,2559
40873,2554
40297,2518
40841,2552
40953,2559
40073,2504
41161,2572
40137,2508
40153,2509
40713,2544
40841,2552
40953,2559
40009,2500
40233,2514
40905,2556
40745,2546
40953,2559
40953,2559
40425,2526
40009,2500
40937,2558
41033,2564
41193,2574
41225,2576
